Fiscal Year,Event ID,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),City,State,Zip Code,Internal Event Name,Previous Event ID
2013,20361,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MN,,MNM Bike MS 2013,0
2013,19658,120000,120,2,2056,72106.63,33152.21,13,15,7,38954.42,51,8375,71,70325.21,0,0,20,Fargo area,ND,58102,North Dakota - Bike MS: Sanford Health Ride the Wind 2013,17906
2015,25530,82000,238,4,3555,76389.26,37159.8,37,39,4,39229.46,139,17352,103,65708.26,885,350,20,Sioux Falls,SD,57105,MNM 2015 Bike MS: Sanford Health Sioux Falls Ride,23096
2016,27044,250000,1118,13,22775,221191.78,166184.86,141,140,5,55006.92,643,48196,488,175804.78,8290.5,815,1709,St. Paul,MN,55102,MNM 2016 Bike MS: Twin Cities Ride,24896
2017,28924,82000,165,3,3161,49133.04,27911,29,30,4,21222.04,81,13856,87,44900.04,975,5100,7105,Sioux Falls,SD,57103,MNM 2017 Bike MS: Sioux Falls,27539
2015,25529,745000,706,38,19462.5,712265.73,360475.02,69,72,6,351790.71,347,94363.78,397,655555.14,2107,1111,2826,Proctor,MN,55810,MNM 2015 Bike MS: TRAM Ride,23064
2017,28893,650000,641,12,13770,633772.27,354461.71,64,64,6,279310.56,341,76697.85,312,602758.38,3665.5,2029.1,8030,Alexandria,MN,56308,MNM 2017 Bike MS: TRAM,27184
2014,23086,120000,143,2,2985,71887.16,33832,20,27,4,38055.16,72,9301,73,73981.16,700,50,200,Fargo area,ND,56560,MNM 2014 North Dakota - Bike MS: Ride the Wind 2014,19658
2017,28105,3000000,3821,106,99814,2806457.9,2162338.43,217,241,15,644119.47,2156,530761.14,1771,2484821.81,29651,146604,177382.75,Duluth to White Bear Lake,MN,55110,MNM 2017 Bike MS: MS 150 Ride,27006
2013,19514,95000,184,3,3545,101170.94,50135.13,27,31,4,51035.81,80,18341,107,87079.94,0,0,0,Des Moines,IA,50015,Iowa - Bike MS: Cruise the Cornfields 2013,17904
2014,23097,200000,190,5,3730,58842.31,32031.8,30,31,4,26810.51,85,9480.54,110,52157.31,5826.19,135,325,Ames,IA,50011,MNM 2014 Iowa - Bike MS: Cruise the Cornfields 2014,19514
2014,23096,155000,228,6,5090,78343.23,36747.29,25,26,6,41595.94,74,10231,160,74235.73,235,120,150,Sioux Falls area,SD,57105,MNM 2014 South Dakota - Bike MS: Pedal the Plains 2014,19883
2016,26498,3000000,851,4,7760,0,0,135,147,5,0,0,0,855,0,0,0,0,,,,MNM 2016 Bike MS: MS 150 Ride (temporary),0
2017,28428,96000,323,0,4506,76156.42,49550.42,39,42,6,26606,164,22649,159,57965.42,834,3980,4378,Ankeny,IA,50023,MNM 2017 Bike MS: Iowa Ride,27049
2013,19883,175000,253,5,4047,108389.68,42688.93,20,20,7,65700.75,87,15519.5,171,100291.18,0,0,0,Sioux Falls,SD,57101,South Dakota - Bike MS: Sanford Health Pedal the Plains 2013,17905
2013,19656,850000,850,22,27038.5,759227.87,338462.43,76,80,6,420765.44,354,101970.92,518,708796.14,0,50,0,International Falls to Duluth,MN,55805,Minnesota - Bike MS: TRAM Ride 2013,17619
2014,21908,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MNM Bike MS 2014,0
2014,21767,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MNM Bike MS 2014 OLD,0
2015,26256,745000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proctor,MN,55810,BB copy MNM 2015 Bike MS: TRAM Ride,0
2015,26496,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MNM 2016 MS 150 Ride (temporary),0
2017,28209,250000,1246,18,26664.5,210036.05,144527.04,135,137,6,65509.01,706,51203.5,558,165042.55,4663,5022.1,6110,St. Paul,MN,55102,MNM 2017 Bike MS: Twin Cities Ride,27044
2016,27006,3000000,3906,94,102461,2838954.91,2104826.32,241,278,14,734128.59,2231,513354.34,1769,2501703.25,20974.7,113531,147066.68,Duluth to White Bear Lake,MN,55110,MNM 2016 Bike MS: MS 150 Ride,24936
2016,26516,200000,33,0,140,250,0,13,13,1,250,0,0,33,250,0,0,0,,,,MNM 2016 Bike MS: Iowa Ride (temporary),25324
2015,24896,250000,1186,19,14065,200783.61,137181.46,145,152,5,63602.15,655,46342,550,159520.61,5338,170,100,St. Paul,MN,55102,MNM 2015 Bike MS: Sam's Club Twin Cities Ride,22107
2015,24936,3000000,3886,101,101446,2828047.43,2035120.33,222,268,15,792927.1,1909,376505.02,2078,2567240.2,47999.55,2489,7296,Duluth,MN,55811,MNM 2015  Bike MS: C.H. Robinson MS 150 Ride,22278
2014,22278,3000000,3796,81,128817.5,2619887.15,1837391.12,224,257,15,782496.03,1822,334142.44,2055,2396537.23,20521.8,805,9696,Duluth to the Twin Cities,MN,55110,MNM 2014 Minnesota - Bike MS: MS 150 Ride 2014,19263
2013,19263,3000000,4119,83,128519.75,2757853.19,1902308.61,247,281,14,855544.58,1824,325971.96,2378,2621883.61,894,0,50,Duluth to the Twin Cities,MN,55810,Minnesota - Bike MS: C.H. Robinson MS 150 Ride 2013,17515
2016,27539,82000,210,1,4270,54523.11,31433.55,29,29,4,23089.56,113,29974.33,98,40064.78,475,15207.32,15465,Sioux Falls,SD,57103,MNM 2016 Bike MS: Sioux Falls Ride,25530
2016,27049,96000,379,0,5005,99687.39,55795.61,48,52,6,43891.78,212,24802,167,78473.39,7060,2635,2690,Ankeny,IA,50023,MNM 2016 Bike MS: Iowa Ride,25324
2015,25324,96000,357,9,5225,83483.64,42340.4,39,45,6,41143.24,158,15724.2,208,70234.44,3560.48,180,320,Ankeny,IA,50023,MNM 2015 Bike MS: C.H. Robinson Iowa Ride,23097
2014,23064,745000,705,21,19447.5,680155.65,295518.85,69,72,6,384636.8,324,97996.72,402,631985.49,2097,85,1420,Pipestone to Welch Village,MN,55415,MNM 2014 Minnesota - Bike MS: TRAM Ride 2014,19656
2013,19173,250000,621,8,9341.5,135128.72,85774,77,78,4,49354.72,279,20059.69,350,120074.75,0,0,0,White Bear Lake,MN,55109,Minnesota - Bike MS: SAM'S CLUB Twin Cities Ride 2013,17384
2016,27184,745000,736,12,17725,686288.74,357675.36,75,74,6,328613.38,376,81629.78,372,622112.96,2535.27,5595,12802,Central,MN,56374,MNM 2016 Bike MS: TRAM,25529
2015,25531,82500,134,2,1915,52319.98,22115,18,20,4,30204.98,76,9827,60,50099.98,2240,1115,1075,Fargo,ND,58102,MNM 2015 Bike MS: Sanford Health Fargo Ride,23086
2014,22107,250000,815,7,11990,159565.74,105596.47,89,92,5,53969.27,409,29207.53,413,138079.07,2210,125,251,Twin Cities,MN,55415,MNM 2014 Minnesota - Bike MS: Twin Cities Ride 2014,19173
2014,22760,2300000,2178,606,58365,1708242.81,1050438.21,178,192,11,657804.6,1326,542312.25,1458,1419376.41,84954.8,257512.67,242872.67,Columbia,MO,65202,"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",20130
2017,28218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MOS 2017 Bike MS: Columbia,0
2015,25037,2300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MOS 2015 Test,0
2014,21909,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbia,MO,65202,MOS Bike MS 2014,0
2013,20794,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MO,,MOS Bike 2013 Test,0
2013,20130,2300000,2539,401,76480,1736943.44,1038001.25,197,221,11,698942.19,1426,519113.91,1514,1437801.5,75554.49,220076.77,213470,Columbia,MO,65202,"Missouri, Columbia  Bike MS: Express Scripts Gateway Getaway Ride 2013",17785
2016,26906,2300000,30,0,379,25,25,6,6,1,0,2,25,28,0,0,0,0,Godfrey,IL,62035,MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride Temporary,25028
2015,25028,2300000,2685,434,71615,1636626.76,1018623.39,165,177,12,618003.37,1270,471758.66,1849,1351156.19,69059.42,197707.53,182859.09,Godfrey,IL,62035,MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,22760
2016,28268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Team ASAP,0
2014,24390,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Columbia,MO,65202,MOS Bike MS 2014- Copy,0
2013,19693,2600000,0,2,20,0,0,0,0,0,0,0,0,2,0,0,0,0,Columbia,MO,65202,MOS 2013 Bike MS Gateway Getaway v1,0
2017,28272,1870000,1867,173,63995,1606342.85,1043921.03,138,144,12,562421.82,1130,446285.84,910,1407774.01,80765.75,221573,228131,Godfrey,IL,62035,MOS 2017 Bike MS: Gateway Getaway Ride,27053
2013,20362,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MO,,MOS Bike MS 2013,0
2016,27053,2300000,1896,328,52098.2,1532826.29,1005924.12,144,152,12,526902.17,1147,377814.05,1077,1283873.91,63467.55,112705.8,121798.67,Godfrey,IL,62035,MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride 2016,25028
2014,21768,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MOS Bike MS 2014 OLD,0
2014,21910,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NCC Bike MS 2014,0
2013,21437,23500,407,0,14670,4038,3578,10,10,6,460,43,2223,364,2355,690,0,540,Gibsonville,NC,27249,NCC 2013 Bike MS Gears and Cheers,18714
2014,21769,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NCC Bike MS 2014 OLD,0
2013,21098,1025000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Clemmons,NC,27012,NCC 2013 Bike MS: Tour to Tanglewood,0
2013,21238,1025000,1838,3,29620,795137.6,405682.17,93,100,14,389455.43,784,146341.27,1057,652329.16,5044,7140.18,2434.33,Clemmons,NC,27012,NCC 2013 Bike MS Tour to Tanglewood,18586
2013,20363,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,,NCC Bike MS 2013,0
2014,21911,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NCT Bike MS 2014,0
2013,20364,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NC,,NCT Bike MS 2013,0
2014,21770,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NCT Bike MS 2014 OLD,0
2017,28275,950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clemmons,NC,27012,NCT 2017 Bike MS: Tour to Tanglewood --  DO NOT USE,27694
2017,28283,950000,897,9,19686.5,726511.39,451744.47,66,70,11,274766.92,461,150705.75,445,648316.75,7692.73,44267,49484.11,Clemmons,NC,27012,NCT 2017 Bike MS: Tour to Tanglewood,27694
2016,27695,1950000,2456,24,61861.96,1580033.93,1104023.47,131,152,14,476010.46,1054,274304.01,1426,1420992.14,59493,55528.36,78576.42,New Bern,NC,28560,NCT 2016 Bike MS: Historic New Bern Ride,25674
2015,25838,1000000,1170,10,27155.96,775561.15,423030.02,67,76,13,352531.13,495,142226.4,685,661310.6,20703.34,33039.5,26950.85,Clemmons,NC,27012,NCT 2015 Bike MS: Tour to Tanglewood,23796
2017,27693,450000,526,5,12950.36,269728.27,173448.69,47,51,6,96279.58,201,38446.37,330,236936.9,11955,5010,5515,Sunset Beach,NC,28424,NCT 2016 Bike MS: Breakaway to the Beach,25916
2014,23796,1025000,1770,7,35537.5,809838.87,447162.04,86,97,15,362676.83,726,143196.33,1051,676477.54,9149.5,13235.35,7020,Clemmons,NC,27012,NCT 2014 Bike MS: Tour to Tanglewood,21238
2013,20796,1000000,792,219,31000,665951.76,419666.86,72,84,7,246284.9,401,84542.95,610,605772.56,7143.6,16954.82,22528.75,Charlotte,NC,29067,Bike MS: Breakaway to the Beach 2013,18227
2015,23842,585000,697,4,20040,409182.48,244926.14,53,55,7,164256.34,256,51842,445,362390.48,9035,1328,3825,Sunset Beach,NC,28468,NCT 2014 Bike MS: Breakaway to the Beach,20796
2017,28911,1900000,2188,40,65653.5,1557207.02,1113022.82,143,159,12,444184.2,1148,302236.56,1080,1406450.68,60859.08,85488.79,105671.05,New Bern,NC,28560,NCT 2017 Bike MS: Historic New Bern Ride,27695
2014,23481,1865000,2169,7,71785,1584338.83,1108795.97,133,149,13,475542.86,1012,229478.28,1164,1443121.55,125601.57,9618,86206,New Bern,NC,28560,NCT 2014 Bike MS: Historic New Bern Ride,20780
2015,25674,1865000,2299,27,60122.52,1584094.53,1069907.66,129,147,12,514186.87,933,245435.07,1393,1386961.46,85369.06,27098,46485,New Bern,NC,,NCT 2015 Bike MS: Historic New Bern Ride,23481
2016,25916,535000,561,16,18274.28,359001.15,214776.35,52,58,6,144224.8,255,64940.57,322,307416.58,2689,11255,10030,Sunset Beach,NC,28424,NCT 2015 Bike MS: Breakaway to the Beach,23842
2013,20780,1800000,2115,280,68698,1599407.52,1061756.15,149,165,11,537651.37,968,228880.46,1427,1421916.06,56005.47,16314.18,37130,New Bern,NC,28560,"New Bern, NC - Bike MS 2013",18145
2014,23948,18500,441,1,15580,4245,3415,12,12,6,830,45,2560,397,1785,200,660,100,Gibsonville,NC,27249,NCT 2014 Bike MS: Gears and Cheers,21437
2016,27694,950000,1150,14,24418.44,748500.49,439180.76,74,78,11,309319.73,492,163838.29,672,633211.82,3590.5,41938.99,40835.4,Clemmons,NC,27012,NCT 2016 Bike MS: Tour to Tanglewood,25838
2016,27696,900000,1271,7,34602.5,673452.42,464504.9,134,144,6,208947.52,625,123124.23,653,601404.19,13206.5,31901,42189,West Long Branch,NJ,7764,NJM 2016 Bike  MS: Coast the Coast,25596
2014,24169,120000,286,17,7191.04,74733.64,47821.59,36,36,5,26912.05,121,18270,182,56925.64,3845,787.05,462,Ringoes,NJ,,"New Jersey, Lambertville - Hops to Hops Bike MS 2014",21706
2013,20717,1050000,1711,27,52822.5,906503,518782.58,151,159,8,387720.42,989,200392.76,749,710331.24,12119.12,6495,3737,West Long Branch,NJ,7764,"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",17891
2013,21296,500000,532,11,15440,498008.18,267354.17,64,67,6,230654.01,254,75739.17,289,425400.01,14631,5621,2756,Morristown,NJ,7960,"New Jersey, Morristown - Bike MS 2013",18764
2013,21706,125000,304,2,8935,100668.6,66150,31,33,5,34518.6,169,25675,137,75063.6,3655,921,70,Lambertville,NJ,8530,"New Jersey, Lambertville - Hops to Hops Bike MS 2013",18614
2015,25928,500000,356,6,7509.5,342462.65,170162.51,39,41,5,172300.14,133,29164,229,327218.65,13388,10971,13535,Morristown,NJ,7960,NJM 2015 Bike MS : Country Challenge,24206
2014,23412,1025000,1570,19,49273,871869.67,527255.97,153,158,7,344613.7,762,126735.29,827,759607.38,17307.17,14422.64,12583,West Long Branch,NJ,7764,"New Jersey, Oakhurst - Coast the Coast Bike MS 2014",20717
2017,28897,800000,858,11,20027.5,618288.69,414790.99,118,115,4,203497.7,450,105539.96,419,551550.73,19382.18,37673.49,37167,West Long Branch,NJ,7764,NJM 2017 Bike MS: Coast the Coast,27696
2014,24206,650000,428,18,15587.96,440042.19,203347.5,47,49,6,236694.69,163,40487.19,283,401915,9490,2890.5,2040,Morristown,NJ,7962,"New Jersey, Morristown - Country Challenge Bike MS 2014",21296
2013,21410,200000,3,0,0,20,20,1,1,3,0,0,0,3,20,0,0,0,,,,NJM -  2013 MS Great 8 Tour Du Lac,18657
2014,23834,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,NJM - 2014 MS Great 8 - Beach to Beach Tour,21410
2014,21912,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NJM Bike MS 2014,0
2014,21771,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NJM Bike MS 2014 OLD,0
2013,20716,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Morristown,NJ,7960,"New Jersey, Paramus - bike MS 2013",0
2013,20365,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NJ,,NJM Bike MS 2013,0
2017,29036,400000,353,3,7265,278649.99,155105.99,45,46,4,123544,129,21320.22,227,287526.77,6615,1950,10284,Morristown,NJ,7960,NJM 2017 Bike MS: Country Challenge,27707
2015,25596,1025000,1298,14,43365.7,732916.78,489211.3,122,130,7,243705.48,583,119893.67,729,651081.11,25834.5,33057,35258,West Long Branch,NJ,7764,"NJM New Jersey, Oakhurst - Bike MS: Coast the Coast 2015",23412
2015,25877,125000,217,1,6080.1,68019.82,51516.5,26,28,5,16503.32,81,14400,137,57044.82,920,4128.32,3175,Ringoes,NJ,8551,NJM Bike 2015: Barrels and Brews,24169
2013,19203,1000100,132,0,3930,1334,474,15,15,3,860,6,399,126,935,0,0,0,West Long Branch,NJ,7764,Coast the Coast Bike MS 2013- DO NOT USE,0
2016,27707,400000,460,7,10850,335761.24,177740.62,54,52,5,158020.62,168,40095.22,299,312291.02,8624,15150,16365,Morristown,NJ,7960,NJM 2016 Bike MS: Country Challenge,25928
2014,22446,215000,382,0,7727,209773.85,162774.92,35,37,9,46998.93,209,40498.87,173,173945.98,525,3368.66,3641,Santa Fe,NM,87506,"New Mexico, Pojoaque - Bike MS 2014",21277
2013,21277,200000,335,9,5724,189041.39,142859.25,32,36,9,46182.14,191,41121.49,153,149884.9,647.94,279.51,1965,Santa Fe,NM,87506,"New Mexico, Pojoaque - Bike MS: New Mexico Pedal los Pueblos 2013",17818
2015,27008,218000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pojoaque,NM,87501,WRW,22446
2016,27735,240000,276,0,5770,176368.54,145370.58,27,30,8,30997.96,167,49178.73,109,141720.54,2755.75,13931.09,14075.73,Santa Fe,NM,87506,TXH 2016 Bike MS: Pojoaque,25647
2015,25647,218000,339,2,7385,206949.87,156383.44,33,38,8,50566.43,193,43269.5,148,174152.37,5305.3,14220.06,9472,Pojoaque,NM,87501,"TXH New Mexico, Pojoaque - Bike MS 2015",22446
2013,22336,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Las Vegas,NV,89106,"NVL, Vegas - Bike MS: Vegas Challenge Volunteer 2013",0
2013,21456,200000,342,9,4807.57,123923.44,81328.67,42,45,5,42594.77,112,19656.76,239,104591.68,4178,19089.76,325,Las Vegas,NV,89106,"NVL, Vegas - Bike MS: Vegas Challenge 2013",18743
2016,27084,125000,300,6,7320.14,109980,87170,32,32,4,22810,109,15798,197,94242,4938,100,0,Southampton,NY,11968,NYH 2016 Bike MS: East End Ride,25672
2013,21009,200000,368,5,8487.28,143356.68,108186,38,40,5,35170.68,130,19389.52,243,124842.16,12996,2455,470,Southampton,NY,11968,NYH Bike MS 2013 East End Ride,18014
2015,25657,25000,77,0,1245,12831,9201,8,8,5,3630,28,2280,49,10926,455,25,375,Bethpage,NY,11714,NYH 2015 Bike MS: Traffic Free Ride,22969
2013,21417,200000,2,0,0,9100,9100,1,1,2,0,1,6965,1,2135,0,0,0,,,,NYH - 2013 MS Great 8 Tour Du Lac,0
2015,25672,176000,283,0,8082.5,123344.03,90940.03,28,29,6,32404,95,14205,188,111049.03,2981,321,1860,Southampton,NY,11968,"NYH Southampton, New York- Bike MS 2015",22971
2014,23835,200000,2,0,0,2055,1955,1,1,2,100,1,100,1,1955,0,0,0,,,,NYH - 2014 MS Great 8 - Beach to Beach Tour,21417
2013,20366,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NY,,NYH Bike MS 2013,0
2014,21913,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NYH Bike MS 2014,0
2015,26356,25000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bethpage,NY,11714,Blackbaud Test 05/05/2015,22969
2014,22971,200000,362,13,10961.76,142590.45,105658.77,44,45,4,36931.68,145,18480,230,124725.45,9491,4103.42,360,Southampton,NY,11968,"Southampton, New York- Bike MS 2014",21009
2017,28920,40000,63,2,1085.52,23860.32,17614,12,12,3,6246.32,33,2850,32,21010.32,50,1350,0,Farmingdale,NY,11735,NYH 2017 Bike MS: Traffic Free Ride,27062
2014,21772,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NYH Bike MS 2014 OLD,0
2013,21016,20000,77,3,930,8206,5386,14,14,3,2820,28,1830,52,6476,668,0,100,Bethpage,NY,11714,Bike MS: Traffic Free Ride 2013,18276
2014,22969,20000,80,0,1422.5,22428,11020,14,14,3,11408,44,4479,36,18024,770,100,75,Bethpage,NY,11714,"Bethpage, New York- Bike MS 2014",21016
2016,27062,10000,49,1,625,5891,3959,9,9,2,1932,11,525,39,5591,285,0,0,Farmingdale,NY,11735,NYH 2016 Bike MS: Traffic Free Ride,25657
2013,21419,200000,4,0,0,19673,17919,1,1,4,1754,3,7150,1,12773,0,0,250,,,,NYN - 2013 MS Great 8 Tour Du Lac,0
2015,23928,3000000,4423,51,147142.26,2656103.01,2015121.73,413,473,7,640981.28,2460,429062.73,2014,2253861.78,147745.97,11815,23271.5,New York City,NY,10019,NYN 2014 Bike MS New York City,21176
2013,18354,3000000,5134,71,214257.32,2651153.84,2035220.36,440,510,8,615933.48,2970,426215.84,2235,2272857.5,1261,10092.25,47549.5,Manhattan,NY,10038,NYN 2012 Bike MS New York City,16987
2016,26036,3000000,3767,52,115656.67,2341041.68,1766731.94,367,434,7,574309.74,1915,373707.89,1904,1999784.79,88089,17040.29,31906,New York,NY,10019,NYN 2015 Bike MS: New York City,23928
2017,27764,2500000,4166,82,144931.6,2553410.11,1992331.07,410,470,7,561079.04,2363,560123.75,1885,2208090.86,102717,146938.39,172087,New York City,NY,10019,NYN 2016 Bike MS: NYC,26036
2015,21914,2635500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York City,NY,10019,NYN Bike MS 2014,0
2014,21176,2750000,5206,52,175496.49,2878585.32,2188479.09,461,514,7,690106.23,2840,424241.87,2418,2484714.46,59991,3008.63,29828.01,New York City,NY,10019,NYN 2013 Bike MS New York City,18354
2014,20367,2635500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York City,NY,10019,NYN Bike MS 2013,18354
2014,23836,200000,3,0,0,6936,4650,1,1,3,2286,1,1010,2,5926,0,500,0,,,,NYN - 2014 MS Great 8 - Beach to Beach Tour,21419
2014,21773,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NYN Bike MS 2014 OLD,0
2017,28936,100000,150,5,1611,48800.2,34425.66,16,16,4,14374.54,58,13982.5,97,43197.7,105,5028,7240,Geneva,NY,14456,NYR 2017 Bike MS: Finger Lakes Challenge,27715
2017,28958,100000,81,4,831,49903.5,33780.5,17,17,2,16123,37,6107.5,48,46501,0,220,1070,Voorheesville,NY,12186,NYR 2017 Bike MS: Hudson River Ramble,27719
2014,23627,100000,245,0,6505.2,123711.48,90289.83,27,27,6,33421.65,123,23337.36,122,103788.12,3115,443,3059,Keuka Park ,NY,14478,"New York, Keuka Park - Bike MS 2014",21111
2017,28951,100000,211,2,2393.5,66421.49,55077,30,28,4,11344.49,99,24363,114,53318.49,1120.08,10475,10395,Irving,NY,14081,NYR 2017 Bike MS: Buffalo's Great Lake Escape,27718
2014,23738,80000,220,4,3204.73,58333.37,43294.31,30,32,3,15039.06,79,9236.5,145,53907.87,2340,88,3506,Rochester,NY,14611,"New York, Rochester - Bike MS 2014",0
2015,25868,134500,167,0,4953,74328.66,55483.15,21,21,5,18845.51,81,13100,86,63697.66,728,270,1162,Keuka Park,NY,14478,NYR 2015 Bike MS: Finger Lakes Challenge,23627
2013,21111,151500,278,3,6151.56,128527.27,78994.66,30,32,6,49532.61,120,23159.51,161,112894.76,5880,110,6537,Keuka Park ,NY,14478,"New York, Keuka Park - Bike MS Finger Lakes 2013",18092
2015,25872,65000,307,1,3410,81065.59,55233.59,33,34,5,25832,101,16922.2,207,65517.39,3102.39,175,1354,Rochester,NY,14623,NYR 2015 Bike MS: ROC the Ride,23738
2016,27719,125000,126,2,2090,80578.48,55637.77,21,22,3,24940.71,67,11779,61,70639.7,1145,140,922.22,Schodack,NY,12033,NYR 2016 Bike MS: Hudson River Ramble,25871
2014,21915,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NYR Bike MS 2014,0
2014,21774,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NYR Bike MS 2014 OLD,0
2014,23847,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,t,0
2013,20368,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NY,,NYR Bike MS 2013,0
2014,23837,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,NYR - 2014 MS Great 8 - Beach to Beach Tour,21421
2013,21421,200000,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,,,,NYR - 2013 MS Great 8 Tour Du Lac,0
2015,25870,75000,214,1,3045.5,78518.56,58156.48,24,25,5,20362.08,100,13817,115,70344.56,3644.44,62.28,3527,Angola,NY,14081,NYR 2015 Bike MS: Buffalo's Great Lake Escape,23846
2016,27715,125000,189,0,3486,52601.31,36927.25,18,15,5,15674.06,77,16812.75,112,43693.56,250,7554,7785,Keuka Park,NY,14478,NYR 2016 Bike MS: Finger Lakes Challenge,25868
2016,27718,125000,190,1,2790,58247.6,46790,25,22,4,11457.6,96,19955.75,95,45541.85,670,7160.1,7240,Irving,NY,14081,NYR 2016 Bike MS: Buffalo's Great Lake Escape,25870
2016,27717,125000,201,3,2915,69727.53,47834.92,19,20,5,21892.61,91,20671,113,54924.53,2380,6024.05,202,Rochester,NY,14623,NYR 2016 Bike MS: ROC the Ride,25872
2014,23846,37825,74,1,1068.22,35296.19,26826,12,12,3,8470.19,33,6687.99,42,31896.7,1450,0,3288.5,Elma,NY,14059,"New York, Elma - Bike MS 2014",21110
2014,23737,85000,159,3,3074.92,108419.17,73312.55,22,22,4,35106.62,79,14902.5,83,100039.93,4587,282.61,3395.26,Schodack ,NY,12033,"New York, Schodack - Bike MS 2014",0
2017,28957,100000,192,8,2268.5,61194.67,41758.67,20,19,5,19436,87,17757.89,113,46391.78,350,2600,2600,Rochester,NY,14623,NYR 2017 Bike MS: ROC the Ride,27717
2013,21112,58250,124,3,2560,98510.25,63143.95,13,13,6,35366.3,77,12048,50,94180.48,2936,150,5549.26,Schodack ,NY,12033,"New York, Schodack - Bike MS Hudson River Ramble 2013",18094
2013,21110,37425,77,1,1535,31674.41,17329.11,12,12,4,14345.3,34,3670.65,44,31018.76,755,20,2995,Orchard Park ,NY,14127,"New York, Western NY - Bike MS Southtowns Shuffle 2013",18093
2015,25871,100000,139,0,1996.5,72704.49,48280.04,18,18,3,24424.45,69,10031,70,63693.49,1760,1051,120,Schodack,NY,12033,NYR 2015 Bike MS: Hudson River Ramble,23737
2013,21476,50000,115,2,2410,33425.47,20828.5,12,12,6,12596.97,62,6397,55,31260.94,9470,0,145,New Albany,OH,43054,Ohio - Bike MS: Central Ohio Challenge 2013,0
2014,21916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,OHA Bike MS 2014,0
